,latitude,longitude,squirrel_id,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flag,tail_twitches,approaches,indifferent,runs_from
76,40.7883840104749,-73.964474836001,28C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,nan,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True
77,40.7914829661051,-73.9610705592868,32D-AM-1013-06,AM,2018-10-13,Adult,Cinnamon,Ground Plane,nan,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False
78,40.78453012881629,-73.9688454483585,22A-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,trash can,False,False,False,True,False,nan,False,False,False,True,False,False,False,True
79,40.7980959471034,-73.9578237168359,40B-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,True,False
80,40.7809719445309,-73.96882712024009,19C-PM-1018-01,PM,2018-10-18,Adult,Gray,Ground Plane,nan,True,True,False,True,False,nan,False,False,False,False,True,False,True,False
81,40.7944585082367,-73.9617088749928,35A-PM-1013-06,PM,2018-10-13,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,False,True
82,40.776653057929295,-73.9701824825872,14E-AM-1008-09,AM,2018-10-08,Adult,Gray,Ground Plane,nan,True,True,False,False,False,nan,True,False,False,False,False,False,False,True
83,40.7766043512974,-73.9676410497481,15G-PM-1019-05,PM,2018-10-19,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
84,40.7723572030236,-73.9708726050721,10F-AM-1007-02,AM,2018-10-07,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
85,40.798216222376396,-73.95414534658171,42E-PM-1012-06,PM,2018-10-12,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,True,nan,False,False,False,False,False,False,False,True
86,40.784292740532706,-73.9683608295976,22B-AM-1013-04,AM,2018-10-13,Adult,Cinnamon,Ground Plane,Under bench,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
87,40.777338666528,-73.968052057989,15F-PM-1010-06,PM,2018-10-10,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
88,40.7715877863274,-73.97871808707359,5A-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,near 65th St arch,False,False,False,False,True,nan,False,False,False,True,False,False,False,True
89,40.7895654068546,-73.95659058682759,32H-PM-1006-01,PM,2018-10-06,nan,Gray,Above Ground,in the European Beech,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
90,40.7992461674802,-73.9565759733611,42C-AM-1007-02,AM,2018-10-07,nan,nan,nan,nan,False,False,False,False,False,nan,False,True,False,False,False,False,False,False
91,40.798738465625604,-73.95515394983059,41D-AM-1014-01,AM,2018-10-14,Adult,Gray,Ground Plane,nan,False,False,False,False,True,digging,False,False,False,False,False,False,True,False
92,40.781353795943495,-73.9641971813967,21G-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,True,False,False,True,False
93,40.776855370308205,-73.9692883970928,14E-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,nan,True,False,False,False,True,walking,False,False,False,False,False,False,False,True
94,40.7699587019058,-73.9708549670788,7H-PM-1006-04,PM,2018-10-06,Adult,Gray,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False
95,40.782511195076395,-73.9639744005647,22F-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,nan,False,False,True,False,True,nan,False,False,False,False,False,False,True,False
96,40.771214548882796,-73.9730277911422,7F-AM-1008-16,AM,2018-10-08,Juvenile,Gray,Above Ground,tree,False,False,False,False,False,nan,False,False,False,False,False,False,False,True
97,40.772469160571795,-73.9710541405708,10F-PM-1019-05,PM,2018-10-19,Adult,Black,Above Ground,"Behind fence, tree",False,False,True,False,False,nan,False,False,False,False,False,False,True,False
98,40.774721358538706,-73.9761592532482,10A-AM-1006-04,AM,2018-10-06,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False
99,40.7950689723135,-73.9544007658685,38F-PM-1013-05,PM,2018-10-13,Juvenile,Gray,Ground Plane,nan,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False
100,40.799368134968,-73.95759861613641,41B-PM-1014-01,PM,2018-10-14,Adult,Gray,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True
101,40.7955418990855,-73.96077013704429,36A-PM-1013-07,PM,2018-10-13,nan,Gray,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True
102,40.7705846185121,-73.9764036522984,5C-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
103,40.7908193284981,-73.9589249555235,32E-PM-1017-03,PM,2018-10-17,Adult,Gray,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False
104,40.7917685404482,-73.9634623418761,31A-PM-1017-04,PM,2018-10-17,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,False,False,False
105,40.7978449143313,-73.9521110154872,42G-AM-1018-03,AM,2018-10-18,Adult,Gray,Ground Plane,nan,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True
106,40.7950013620207,-73.9574809028248,37D-PM-1014-04,PM,2018-10-14,Adult,Gray,Ground Plane,nan,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True
107,40.785411934253794,-73.967097592707,24B-AM-1013-01,AM,2018-10-13,nan,Gray,Above Ground,nan,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True
108,40.7701941550273,-73.97113187902791,7G-AM-1010-02,AM,2018-10-10,Adult,Gray,Above Ground,nan,True,False,False,False,False,nan,False,False,False,False,True,False,False,True
109,40.770540931570295,-73.9763243383771,5C-PM-1010-13,PM,2018-10-10,Adult,Gray,Above Ground,way up a tree!,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
110,40.7755181941559,-73.96517544644391,15I-AM-1008-01,AM,2018-10-08,Adult,Gray,Above Ground,tree,False,False,True,True,False,nan,False,False,False,False,False,False,True,False
111,40.7815739959357,-73.9700100617602,19B-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,nan,True,False,False,False,False,flying,False,False,False,False,False,False,False,False
112,40.776238547062995,-73.971905618214,13D-PM-1018-10,PM,2018-10-18,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
113,40.7922896176936,-73.9530040923555,36I-PM-1007-10,PM,2018-10-07,Juvenile,Gray,Ground Plane,nan,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False
114,40.798848730021604,-73.9572093760529,41B-AM-1010-06,AM,2018-10-10,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
115,40.793958106938206,-73.9607746337979,35B-AM-1010-01,AM,2018-10-10,Adult,Gray,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False
116,40.7973923396512,-73.9566346046453,40D-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,False,False
117,40.796382675378,-73.9592038887673,38B-PM-1018-02,PM,2018-10-18,Adult,Gray,Ground Plane,nan,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False
118,40.7950813345902,-73.9511118711108,40I-AM-1018-01,AM,2018-10-18,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,True,begging,False,False,False,False,False,False,False,False
119,40.7729537573035,-73.97699397963821,7B-AM-1008-10,AM,2018-10-08,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
120,40.7763310392591,-73.9712527809516,13D-AM-1014-08,AM,2018-10-14,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
121,40.7772624641112,-73.9671147090087,16G-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,nan,False,False,False,False,True,was hanging out w/ #2 until i showed up,True,False,False,False,False,False,False,True
122,40.7982597947515,-73.9588660250232,40A-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,bottom of great hill,False,False,False,True,True,nan,False,False,False,True,False,False,True,True
123,40.7761841788025,-73.9651601541795,15I-PM-1012-07,PM,2018-10-12,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,True,nan,False,False,False,False,False,False,False,False
124,40.7693711799946,-73.97921554736891,3B-PM-1007-11,PM,2018-10-07,Adult,Gray,Above Ground,in tree,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
125,40.7828778892276,-73.96641005044359,21D-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
126,40.7748467061969,-73.97462290946429,10B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,True,False,False,False
127,40.7761092972965,-73.9705092958892,13E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
128,40.799770819002205,-73.95816559494371,41A-PM-1007-06,PM,2018-10-07,Adult,Black,Ground Plane,nan,True,False,True,True,False,nan,False,False,False,False,False,False,False,True
129,40.7662992317575,-73.9755560786227,2F-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
130,40.7828208083804,-73.9696433533986,20B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,nan,False,False,False,False,True,quietly,False,False,False,False,False,False,True,False
131,40.787896428768,-73.9664711607022,26A-PM-1006-06,PM,2018-10-06,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,False,False,True,False,False,nan,False,False,False,True,False,False,False,False
132,40.7933755266787,-73.9575943815564,35E-PM-1006-07,PM,2018-10-06,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,True
133,40.7728877377977,-73.9694168118643,11G-PM-1013-01,PM,2018-10-13,Adult,Gray,Above Ground,In the Woods/Brush,False,False,True,False,True,nan,False,False,False,False,False,False,False,True
